Sellerierahmsuppe (Gl,So,Sl,Ge)Szegediner Sojagulasch (So)Penne Rigate - Pastasorte (Gl,We) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Erdbeer (La)	378	3.5
"Gai Pad Prik" mit gegrilltem Gemüse (2,Gl,So,We) , Mie-Nudeln (Gl,We)	319	3.3
Souvlaki-Spieß (Schweinefleisch am Holzspieß) typisch griechisch gewürzt (Ei,S) mit veganer Rahmsauce (So) und Kräuternudeln (Gl,We) dazu Weißkrautsalat	378	1.9
Penne Rigate - Pastasorte (Gl,We) oder Broccoligemüse	72	2.8
Kartoffeln oder Reis oder Karottengemüse	72	1.1
Quinoa-Reis- Bowl mit Reis, Gurken, Karotten und Radieschen	339	3.8
eine große Portion Pommes Frites inkl. 1 Portion Ketchup (Sl) oder Mayonaise (3,Ei,Sf)	188	2.0
Kartoffeln oder Romanesco	72	1.1
Vollkornreis oder Grüne Bohnen	72	2.1
Frisch gegrillter Wrap (Gl,La,We)"Chili sin Carne" mit Bohnen und Mais (Gl,So,We)	358	1.7
Asiatische Reispfanne mit Gemüse, Pilzen und Sojakeimlingen (So)	282	3.9
Spiralli (Gl,We) mit Linsenbolognese (2,Sl)	235	2.3
Kartoffeln oder Karottengemüse	72	1.7
Spiralli (Gl,We) "prosciutto" mit ital. Landschinken und Tomatensugo (2,6,S)	250	1.0
Maccaroni ´n Cheese (Gl,La,Sf,We) mit Käsesauce (2,Ei,La)	274	1.6
Penne mit feurigem Tomaten-Mango-Linsenragout (Gl,We)	229	3.4
Frisch gebrühte Bockwurst (2,3,8,S,R) oder Rindswurst (2,3,4,So,Sl,R)	117	1.8
Nürn-Burger: Frische Bratwurstschnecke im Laugenbrötchen, Salat (3,Gl,Sl,Sf,S,R,We) und Weißkrautrelish mit Nachos	370	2.6
Vegane Cannelloni mit Ratatouille gefüllt (1,Gl,We) und Tomatensauce (2)	378	3.2
Vegane Currywurst (So,Sl) mit Currysauce (1,2,9) und Pommes frites	327	3.5
Lauchcremesuppe (Gl,So,Sl,Ge)Gebratenes Seelachsfilet (Fi) an Möhren-Ingwer-Rahmgemüse (So)KartoffelnDessertFruchtjoghurt Waldfrucht-Heidelbeer (1,La)	378	2.4
Gebratenes Schweinenackensteak vom Grill mit Schmorzwiebeln (Gl,S,We)Baguettebrötchen (Gl,We,Ro)	357	1.5
Jackfruit Bratwurst mit Rotkohl (3,9) und Röstzwiebelpüree (3,Gl,La,We)	378	3.5
gegrilltes Schweinesteak (S) mit Schmorzwiebeln und Baguettebrötchen (Gl,We,Ro)	339	2.1
Gebratenes Schweinenackensteak vom Grill mit Schmorzwiebeln (Gl,S,We)Baguettebrötchen (Gl,We,Ro)	357	2.8
Hamburger, Rindfleischburger vom Grill mit Tomaten, Gurke, Salat und Sauce (1,2,9,Gl,Ei,So,Sf,Se,R,We)	382	4.1
hausgemachte Quinoa-Bowl mit Zitronenaioli (Sf) getoppt mit Hähnchenstreifen (G) getoppt mit Tofuwürfel (So)	269	2.6
Süß und saures Tofu mit Ananas (3,Gl,So,Nu,We) mit Gemüsereis (Sl)	271	4.4
Vollkornreis oder Leipziger Allerlei	72	2.0
Broccolirahmsuppe (So)Vischstäbchen auf Weizenbasis (Gl,We,Haf) mit Kartoffel-Gurken-Radieschen-Salat (2,So,Sf) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Pfirsich (La)	378	4.3
Hamburger, Rindfleischburger vom Grill mit Tomaten, Gurke, Salat und Sauce (1,2,9,Gl,Ei,So,Sf,Se,R,We)	382	2.5
Gebratenes Schweinenackensteak vom Grill mit Schmorzwiebeln (Gl,S,We)Baguettebrötchen (Gl,We,Ro)	357	2.6
